Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
29/5/2014,48,4.3,14,1
28/5/2014,70,5.2,11,1
27/5/2014,78,6.7,9,1
26/5/2014,91,6.9,13,1
25/5/2014,109,6.6,14,1
24/5/2014,109,6.3,18,1
23/5/2014,91,5.6,17,1
22/5/2014,66,5.3,20,1
21/5/2014,85,7.1,16,1
20/5/2014,87,7.5,20,1
19/5/2014,102,7.8,20,1
18/5/2014,138,16.5,16,1
17/5/2014,151,7.2,15,1
16/5/2014,133,7.8,17,1
15/5/2014,156,8.5,15,1
14/5/2014,166,8.4,16,1
13/5/2014,133,7.9,18,1
12/5/2014,154,10.5,16,1
11/5/2014,150,7.8,15,1
10/5/2014,123,8.9,12,1
9/5/2014,139,8.5,19,1
8/5/2014,132,7,9,1
7/5/2014,120,7.3,14,1
6/5/2014,148,7.4,17,1
5/5/2014,142,6,18,1
4/5/2014,127,6.9,17,1
3/5/2014,123,7,17,1
2/5/2014,115,8,19,1
1/5/2014,88,4.4,16,1
30/4/2014,82,4.7,17,1
29/4/2014,77,4,14,1
28/4/2014,80,4.3,13,1
27/4/2014,77,5,15,1
26/4/2014,45,3.1,18,1
25/4/2014,57,3.3,17,1
24/4/2014,72,3,17,1
23/4/2014,85,3.1,17,1
22/4/2014,123,9.8,18,1
21/4/2014,150,9.6,12,1
20/4/2014,173,12,10,1
19/4/2014,178,13.1,14,1
18/4/2014,178,9.5,12,1
17/4/2014,199,9.6,18,1
16/4/2014,187,7.1,15,1
15/4/2014,145,7.6,19,1
14/4/2014,105,7.1,16,1
13/4/2014,80,5.9,12,1
12/4/2014,73,5.4,17,1
11/4/2014,61,4,21,1
10/4/2014,65,4.7,18,1
9/4/2014,94,8.6,20,1
8/4/2014,117,6.7,21,1
7/4/2014,114,7.5,19,1
6/4/2014,121,6.5,16,1
5/4/2014,135,6.5,14,1
4/4/2014,158,8.5,9,1
3/4/2014,133,7.3,16,1
2/4/2014,114,6.8,20,1
1/4/2014,96,5.6,21,1
31/3/2014,118,6.6,21,1
30/3/2014,101,6.3,17,1
29/3/2014,118,6.2,17,1
28/3/2014,122,8.4,18,1
27/3/2014,115,7.1,16,1
26/3/2014,112,5.9,12,1
25/3/2014,136,7.6,17,1
24/3/2014,137,7.8,18,1
23/3/2014,151,11.6,15,1
22/3/2014,146,8.4,12,1
21/3/2014,126,7.4,20,1
20/3/2014,139,8.5,19,1
19/3/2014,141,8.4,19,1
18/3/2014,136,10.4,12,1
17/3/2014,126,11.4,14,1
16/3/2014,122,6.2,14,1
15/3/2014,111,7,14,1
14/3/2014,109,5.8,21,1
13/3/2014,112,8.8,17,1
12/3/2014,132,9.9,21,1
11/3/2014,111,5.6,17,1
10/3/2014,113,8.6,20,1
9/3/2014,111,12.2,17,1
8/3/2014,116,8.6,15,1
7/3/2014,134,8.6,15,1
6/3/2014,127,9.8,19,1
5/3/2014,154,14.1,13,1
4/3/2014,141,5.7,12,1
3/3/2014,161,8.3,12,1
2/3/2014,158,11.7,12,1
1/3/2014,155,9.1,7,1
28/2/2014,196,16,10,1
27/2/2014,220,15.2,12,1
26/2/2014,207,14.5,16,1
25/2/2014,171,10.2,17,1
24/2/2014,153,8.4,18,1
23/2/2014,158,11.3,16,1
22/2/2014,146,10.6,13,1
21/2/2014,136,10.9,17,1
20/2/2014,133,8.5,12,1
19/2/2014,126,7.6,14,1
18/2/2014,127,6.1,13,1
17/2/2014,106,6.6,18,1
16/2/2014,103,7.3,14,1
15/2/2014,113,11.8,12,1
14/2/2014,130,7.9,11,1
13/2/2014,147,11.1,12,1
12/2/2014,161,8.6,15,1
11/2/2014,158,9.1,12,1
10/2/2014,137,7.6,13,1
9/2/2014,147,8.8,14,1
8/2/2014,147,9.4,6,1
7/2/2014,147,10.6,11,1
6/2/2014,171,10,13,1
5/2/2014,167,16.1,18,1
4/2/2014,144,13.8,16,1
3/2/2014,127,9.6,17,1
2/2/2014,118,12.6,15,1
1/2/2014,94,8,9,1
31/1/2014,93,9.5,17,1
